1
 prev (169, 4) now (258, 4) point (472, 6)
 prev (258, 4) now (472, 6) point (510, 12)
 prev (472, 6) now (510, 12) point (502, 13)
 prev (510, 12) now (502, 13) point (465, 17)
 prev (502, 13) now (465, 17) point (510, 31)
 prev (510, 12) now (502, 13) point (510, 31)
 prev (472, 6) now (510, 12) point (510, 31)
 prev (510, 12) now (510, 31) point (299, 15)
 prev (510, 31) now (299, 15) point (396, 24)
 prev (510, 12) now (510, 31) point (396, 24)
 prev (510, 31) now (396, 24) point (490, 37)
 prev (510, 12) now (510, 31) point (490, 37)
 prev (510, 31) now (490, 37) point (498, 44)
 prev (510, 12) now (510, 31) point (498, 44)
 prev (510, 31) now (498, 44) point (510, 48)
 prev (510, 12) now (510, 31) point (510, 48)
 prev (472, 6) now (510, 12) point (510, 48)
 prev (510, 12) now (510, 48) point (347, 27)
 prev (510, 48) now (347, 27) point (442, 48)
 prev (510, 12) now (510, 48) point (442, 48)
 prev (510, 48) now (442, 48) point (506, 68)
 prev (510, 12) now (510, 48) point (506, 68)
 prev (510, 48) now (506, 68) point (384, 46)
 prev (506, 68) now (384, 46) point (418, 59)
 prev (510, 48) now (506, 68) point (418, 59)
 prev (506, 68) now (418, 59) point (335, 50)
 prev (418, 59) now (335, 50) point (470, 89)
 prev (506, 68) now (418, 59) point (470, 89)
 prev (510, 48) now (506, 68) point (470, 89)
 prev (506, 68) now (470, 89) point (378, 64)
 prev (470, 89) now (378, 64) point (480, 94)
 prev (506, 68) now (470, 89) point (480, 94)
 prev (510, 48) now (506, 68) point (480, 94)
 prev (506, 68) now (480, 94) point (397, 71)
 prev (480, 94) now (397, 71) point (480, 96)
 prev (506, 68) now (480, 94) point (480, 96)
 prev (510, 48) now (506, 68) point (480, 96)
 prev (506, 68) now (480, 96) point (416, 82)
 prev (480, 96) now (416, 82) point (480, 115)
 prev (506, 68) now (480, 96) point (480, 115)
 prev (510, 48) now (506, 68) point (480, 115)
 prev (506, 68) now (480, 115) point (386, 82)
 prev (480, 115) now (386, 82) point (437, 106)
 prev (506, 68) now (480, 115) point (437, 106)
 prev (480, 115) now (437, 106) point (430, 111)
 prev (506, 68) now (480, 115) point (430, 111)
 prev (480, 115) now (430, 111) point (440, 123)
 prev (506, 68) now (480, 115) point (440, 123)
 prev (480, 115) now (440, 123) point (441, 139)
 prev (506, 68) now (480, 115) point (441, 139)
 prev (480, 115) now (441, 139) point (501, 170)
 prev (506, 68) now (480, 115) point (501, 170)
 prev (510, 48) now (506, 68) point (501, 170)
 prev (510, 12) now (510, 48) point (501, 170)
 prev (510, 48) now (501, 170) point (450, 148)
 prev (501, 170) now (450, 148) point (290, 68)
 prev (450, 148) now (290, 68) point (395, 130)
